Tonga,Gloss,Type,Status,C1,C2,Vowel,Time,F0,minimal,C1.class,C2.class,C1.class.reg,C2.class.reg
ku-land-a,go astray,A-H-1,ku-,l,nd,u,8,160.0080453,no minimal pair,sonorant,prenasalized voiced stops,non-blocker,non-blocker
ku-land-a,go astray,A-H-1,ku-,l,nd,u,9,159.851236,no minimal pair,sonorant,prenasalized voiced stops,non-blocker,non-blocker
ku-land-a,go astray,A-H-1,ku-,l,nd,u,10,159.7335653,no minimal pair,sonorant,prenasalized voiced stops,non-blocker,non-blocker
ku-land-a,go astray,A-H-1,stem,l,nd,a,1,159.2790479,no minimal pair,sonorant,prenasalized voiced stops,non-blocker,non-blocker
ku-land-a,go astray,A-H-1,stem,l,nd,a,2,158.5738995,no minimal pair,sonorant,prenasalized voiced stops,non-blocker,non-blocker
ku-land-a,go astray,A-H-1,stem,l,nd,a,3,157.9705755,no minimal pair,sonorant,prenasalized voiced stops,non-blocker,non-blocker
ku-land-a,go astray,A-H-1,stem,l,nd,a,4,157.5682038,no minimal pair,sonorant,prenasalized voiced stops,non-blocker,non-blocker
ku-land-a,go astray,A-H-1,stem,l,nd,a,5,157.4101272,no minimal pair,sonorant,prenasalized voiced stops,non-blocker,non-blocker
ku-land-a,go astray,A-H-1,stem,l,nd,a,6,157.4841727,no minimal pair,sonorant,prenasalized voiced stops,non-blocker,non-blocker
ku-land-a,go astray,A-H-1,stem,l,nd,a,7,159.1819232,no minimal pair,sonorant,prenasalized voiced stops,non-blocker,non-blocker
ku-land-a,go astray,A-H-1,stem,l,nd,a,8,162.2471461,no minimal pair,sonorant,prenasalized voiced stops,non-blocker,non-blocker
ku-land-a,go astray,A-H-1,stem,l,nd,a,9,166.6095945,no minimal pair,sonorant,prenasalized voiced stops,non-blocker,non-blocker
ku-land-a,go astray,A-H-1,stem,l,nd,a,10,170.724996,no minimal pair,sonorant,prenasalized voiced stops,non-blocker,non-blocker
ku-land-a,go astray,A-H-1,FV,l,nd,a,1,179.3211903,no minimal pair,sonorant,prenasalized voiced stops,non-blocker,non-blocker
ku-land-a,go astray,A-H-1,FV,l,nd,a,2,187.31526,no minimal pair,sonorant,prenasalized voiced stops,non-blocker,non-blocker
ku-land-a,go astray,A-H-1,FV,l,nd,a,3,193.4600744,no minimal pair,sonorant,prenasalized voiced stops,non-blocker,non-blocker
ku-land-a,go astray,A-H-1,FV,l,nd,a,4,197.6668153,no minimal pair,sonorant,prenasalized voiced stops,non-blocker,non-blocker
ku-land-a,go astray,A-H-1,FV,l,nd,a,5,200.0010085,no minimal pair,sonorant,prenasalized voiced stops,non-blocker,non-blocker
ku-land-a,go astray,A-H-1,FV,l,nd,a,6,201.5862769,no minimal pair,sonorant,prenasalized voiced stops,non-blocker,non-blocker
ku-land-a,go astray,A-H-1,FV,l,nd,a,7,202.5475387,no minimal pair,sonorant,prenasalized voiced stops,non-blocker,non-blocker
ku-land-a,go astray,A-H-1,FV,l,nd,a,8,202.9820808,no minimal pair,sonorant,prenasalized voiced stops,non-blocker,non-blocker
ku-land-a,go astray,A-H-1,FV,l,nd,a,9,203.0742972,no minimal pair,sonorant,prenasalized voiced stops,non-blocker,non-blocker
ku-land-a,go astray,A-H-1,FV,l,nd,a,10,202.9087916,no minimal pair,sonorant,prenasalized voiced stops,non-blocker,non-blocker
ku-mbwit-a,miss,A-H-1,ku-,mbw,t,u,1,161.8447914,no minimal pair,prenasalized voiced stops,voiceless obstruents,non-blocker,non-blocker
ku-mbwit-a,miss,A-H-1,ku-,mbw,t,u,2,162.3663326,no minimal pair,prenasalized voiced stops,voiceless obstruents,non-blocker,non-blocker
ku-mbwit-a,miss,A-H-1,ku-,mbw,t,u,3,162.7599332,no minimal pair,prenasalized voiced stops,voiceless obstruents,non-blocker,non-blocker
ku-mbwit-a,miss,A-H-1,ku-,mbw,t,u,4,162.8483073,no minimal pair,prenasalized voiced stops,voiceless obstruents,non-blocker,non-blocker
ku-mbwit-a,miss,A-H-1,ku-,mbw,t,u,5,163.1326974,no minimal pair,prenasalized voiced stops,voiceless obstruents,non-blocker,non-blocker
